"orig","dest","corridor_name","year","census","corridor"
"Austria","Belgium","Austria->Belgium",2011,NA,1
"Austria","Bulgaria","Austria->Bulgaria",2011,128,2
"Austria","Croatia","Austria->Croatia",2011,3877,3
"Austria","Cyprus","Austria->Cyprus",2011,130,4
"Austria","Czech Republic","Austria->Czech Republic",2011,1756,5
"Austria","Denmark","Austria->Denmark",2011,1159,6
"Austria","Estonia","Austria->Estonia",2011,37,7
"Austria","Finland","Austria->Finland",2011,404,8
"Austria","France","Austria->France",2011,7771,9
"Austria","Germany","Austria->Germany",2011,121790,10
"Austria","Greece","Austria->Greece",2011,1663,11
"Austria","Hungary","Austria->Hungary",2011,3131,12
"Austria","Ireland","Austria->Ireland",2011,NA,13
"Austria","Italy","Austria->Italy",2011,9216,14
"Austria","Latvia","Austria->Latvia",2011,72,15
"Austria","Lithuania","Austria->Lithuania",2011,0,16
"Austria","Luxembourg","Austria->Luxembourg",2011,607,17
"Austria","Malta","Austria->Malta",2011,79,18
"Austria","Netherlands","Austria->Netherlands",2011,0,19
"Austria","Poland","Austria->Poland",2011,1027,20
"Austria","Portugal","Austria->Portugal",2011,352,21
"Austria","Romania","Austria->Romania",2011,323,22
"Austria","Slovakia","Austria->Slovakia",2011,462,23
"Austria","Slovenia","Austria->Slovenia",2011,1822,24
"Austria","Spain","Austria->Spain",2011,4560,25
"Austria","Sweden","Austria->Sweden",2011,2777,26
"Austria","United Kingdom","Austria->United Kingdom",2011,10895,27
"Belgium","Austria","Belgium->Austria",2011,1546,28
"Belgium","Bulgaria","Belgium->Bulgaria",2011,199,29
"Belgium","Croatia","Belgium->Croatia",2011,173,30
"Belgium","Cyprus","Belgium->Cyprus",2011,128,31
"Belgium","Czech Republic","Belgium->Czech Republic",2011,442,32
"Belgium","Denmark","Belgium->Denmark",2011,1283,33
"Belgium","Estonia","Belgium->Estonia",2011,31,34
"Belgium","Finland","Belgium->Finland",2011,268,35
"Belgium","France","Belgium->France",2011,100588,36
"Belgium","Germany","Belgium->Germany",2011,18490,37
"Belgium","Greece","Belgium->Greece",2011,4669,38
"Belgium","Hungary","Belgium->Hungary",2011,767,39
"Belgium","Ireland","Belgium->Ireland",2011,NA,40
"Belgium","Italy","Belgium->Italy",2011,39625,41
"Belgium","Latvia","Belgium->Latvia",2011,31,42
"Belgium","Lithuania","Belgium->Lithuania",2011,0,43
"Belgium","Luxembourg","Belgium->Luxembourg",2011,13302,44
"Belgium","Malta","Belgium->Malta",2011,118,45
"Belgium","Netherlands","Belgium->Netherlands",2011,0,46
"Belgium","Poland","Belgium->Poland",2011,747,47
"Belgium","Portugal","Belgium->Portugal",2011,2555,48
"Belgium","Romania","Belgium->Romania",2011,242,49
"Belgium","Slovakia","Belgium->Slovakia",2011,107,50
"Belgium","Slovenia","Belgium->Slovenia",2011,120,51
"Belgium","Spain","Belgium->Spain",2011,30270,52
"Belgium","Sweden","Belgium->Sweden",2011,1438,53
"Belgium","United Kingdom","Belgium->United Kingdom",2011,19310,54
"Bulgaria","Austria","Bulgaria->Austria",2011,13117,55
"Bulgaria","Belgium","Bulgaria->Belgium",2011,NA,56
"Bulgaria","Croatia","Bulgaria->Croatia",2011,193,57
"Bulgaria","Cyprus","Bulgaria->Cyprus",2011,17162,58
"Bulgaria","Czech Republic","Bulgaria->Czech Republic",2011,7414,59
"Bulgaria","Denmark","Bulgaria->Denmark",2011,3218,60
"Bulgaria","Estonia","Bulgaria->Estonia",2011,61,61
"Bulgaria","Finland","Bulgaria->Finland",2011,998,62
"Bulgaria","France","Bulgaria->France",2011,14353,63
"Bulgaria","Germany","Bulgaria->Germany",2011,61570,64
"Bulgaria","Greece","Bulgaria->Greece",2011,67684,65
"Bulgaria","Hungary","Bulgaria->Hungary",2011,828,66
"Bulgaria","Ireland","Bulgaria->Ireland",2011,NA,67
"Bulgaria","Italy","Bulgaria->Italy",2011,38359,68
"Bulgaria","Latvia","Bulgaria->Latvia",2011,89,69
"Bulgaria","Lithuania","Bulgaria->Lithuania",2011,0,70
"Bulgaria","Luxembourg","Bulgaria->Luxembourg",2011,696,71
"Bulgaria","Malta","Bulgaria->Malta",2011,791,72
"Bulgaria","Netherlands","Bulgaria->Netherlands",2011,0,73
"Bulgaria","Poland","Bulgaria->Poland",2011,2341,74
"Bulgaria","Portugal","Bulgaria->Portugal",2011,4824,75
"Bulgaria","Romania","Bulgaria->Romania",2011,498,76
"Bulgaria","Slovakia","Bulgaria->Slovakia",2011,576,77
"Bulgaria","Slovenia","Bulgaria->Slovenia",2011,739,78
"Bulgaria","Spain","Bulgaria->Spain",2011,109595,79
"Bulgaria","Sweden","Bulgaria->Sweden",2011,5891,80
"Bulgaria","United Kingdom","Bulgaria->United Kingdom",2011,44190,81
"Croatia","Austria","Croatia->Austria",2011,30552,82
"Croatia","Belgium","Croatia->Belgium",2011,NA,83
"Croatia","Bulgaria","Croatia->Bulgaria",2011,41,84
"Croatia","Cyprus","Croatia->Cyprus",2011,62,85
"Croatia","Czech Republic","Croatia->Czech Republic",2011,1405,86
"Croatia","Denmark","Croatia->Denmark",2011,621,87
"Croatia","Estonia","Croatia->Estonia",2011,10,88
"Croatia","Finland","Croatia->Finland",2011,151,89
"Croatia","France","Croatia->France",2011,5772,90
"Croatia","Germany","Croatia->Germany",2011,120950,91
"Croatia","Greece","Croatia->Greece",2011,389,92
"Croatia","Hungary","Croatia->Hungary",2011,1245,93
"Croatia","Ireland","Croatia->Ireland",2011,NA,94
"Croatia","Italy","Croatia->Italy",2011,24693,95
"Croatia","Latvia","Croatia->Latvia",2011,6,96
"Croatia","Lithuania","Croatia->Lithuania",2011,0,97
"Croatia","Luxembourg","Croatia->Luxembourg",2011,302,98
"Croatia","Malta","Croatia->Malta",2011,68,99
"Croatia","Netherlands","Croatia->Netherlands",2011,0,100
"Croatia","Poland","Croatia->Poland",2011,301,101
"Croatia","Portugal","Croatia->Portugal",2011,107,102
"Croatia","Romania","Croatia->Romania",2011,37,103
"Croatia","Slovakia","Croatia->Slovakia",2011,363,104
"Croatia","Slovenia","Croatia->Slovenia",2011,33857,105
"Croatia","Spain","Croatia->Spain",2011,1835,106
"Croatia","Sweden","Croatia->Sweden",2011,5023,107
"Croatia","United Kingdom","Croatia->United Kingdom",2011,6985,108
"Cyprus","Austria","Cyprus->Austria",2011,217,109
"Cyprus","Belgium","Cyprus->Belgium",2011,NA,110
"Cyprus","Bulgaria","Cyprus->Bulgaria",2011,145,111
"Cyprus","Croatia","Cyprus->Croatia",2011,0,112
"Cyprus","Czech Republic","Cyprus->Czech Republic",2011,173,113
"Cyprus","Denmark","Cyprus->Denmark",2011,122,114
"Cyprus","Estonia","Cyprus->Estonia",2011,1,115
"Cyprus","Finland","Cyprus->Finland",2011,37,116
"Cyprus","France","Cyprus->France",2011,857,117
"Cyprus","Germany","Cyprus->Germany",2011,1060,118
"Cyprus","Greece","Cyprus->Greece",2011,19173,119
"Cyprus","Hungary","Cyprus->Hungary",2011,231,120
"Cyprus","Ireland","Cyprus->Ireland",2011,NA,121
"Cyprus","Italy","Cyprus->Italy",2011,424,122
"Cyprus","Latvia","Cyprus->Latvia",2011,3,123
"Cyprus","Lithuania","Cyprus->Lithuania",2011,0,124
"Cyprus","Luxembourg","Cyprus->Luxembourg",2011,44,125
"Cyprus","Malta","Cyprus->Malta",2011,40,126
"Cyprus","Netherlands","Cyprus->Netherlands",2011,0,127
"Cyprus","Poland","Cyprus->Poland",2011,48,128
"Cyprus","Portugal","Cyprus->Portugal",2011,26,129
"Cyprus","Romania","Cyprus->Romania",2011,94,130
"Cyprus","Slovakia","Cyprus->Slovakia",2011,11,131
"Cyprus","Slovenia","Cyprus->Slovenia",2011,13,132
"Cyprus","Spain","Cyprus->Spain",2011,565,133
"Cyprus","Sweden","Cyprus->Sweden",2011,455,134
"Cyprus","United Kingdom","Cyprus->United Kingdom",2011,56215,135
"Czech Republic","Austria","Czech Republic->Austria",2011,14934,136
"Czech Republic","Belgium","Czech Republic->Belgium",2011,NA,137
"Czech Republic","Bulgaria","Czech Republic->Bulgaria",2011,686,138
"Czech Republic","Croatia","Czech Republic->Croatia",2011,653,139
"Czech Republic","Cyprus","Czech Republic->Cyprus",2011,424,140
"Czech Republic","Denmark","Czech Republic->Denmark",2011,706,141
"Czech Republic","Estonia","Czech Republic->Estonia",2011,41,142
"Czech Republic","Finland","Czech Republic->Finland",2011,108,143
"Czech Republic","France","Czech Republic->France",2011,5489,144
"Czech Republic","Germany","Czech Republic->Germany",2011,65980,145
"Czech Republic","Greece","Czech Republic->Greece",2011,4353,146
"Czech Republic","Hungary","Czech Republic->Hungary",2011,730,147
"Czech Republic","Ireland","Czech Republic->Ireland",2011,NA,148
"Czech Republic","Italy","Czech Republic->Italy",2011,7697,149
"Czech Republic","Latvia","Czech Republic->Latvia",2011,100,150
"Czech Republic","Lithuania","Czech Republic->Lithuania",2011,0,151
"Czech Republic","Luxembourg","Czech Republic->Luxembourg",2011,353,152
"Czech Republic","Malta","Czech Republic->Malta",2011,72,153
"Czech Republic","Netherlands","Czech Republic->Netherlands",2011,0,154
"Czech Republic","Poland","Czech Republic->Poland",2011,2404,155
"Czech Republic","Portugal","Czech Republic->Portugal",2011,214,156
"Czech Republic","Romania","Czech Republic->Romania",2011,144,157
"Czech Republic","Slovakia","Czech Republic->Slovakia",2011,67878,158
"Czech Republic","Slovenia","Czech Republic->Slovenia",2011,286,159
"Czech Republic","Spain","Czech Republic->Spain",2011,4475,160
"Czech Republic","Sweden","Czech Republic->Sweden",2011,1140,161
"Czech Republic","United Kingdom","Czech Republic->United Kingdom",2011,32240,162
"Denmark","Austria","Denmark->Austria",2011,847,163
"Denmark","Belgium","Denmark->Belgium",2011,NA,164
"Denmark","Bulgaria","Denmark->Bulgaria",2011,36,165
"Denmark","Croatia","Denmark->Croatia",2011,75,166
"Denmark","Cyprus","Denmark->Cyprus",2011,98,167
"Denmark","Czech Republic","Denmark->Czech Republic",2011,251,168
"Denmark","Estonia","Denmark->Estonia",2011,80,169
"Denmark","Finland","Denmark->Finland",2011,617,170
"Denmark","France","Denmark->France",2011,4038,171
"Denmark","Germany","Denmark->Germany",2011,15210,172
"Denmark","Greece","Denmark->Greece",2011,733,173
"Denmark","Hungary","Denmark->Hungary",2011,195,174
"Denmark","Ireland","Denmark->Ireland",2011,NA,175
"Denmark","Italy","Denmark->Italy",2011,1965,176
"Denmark","Latvia","Denmark->Latvia",2011,138,177
"Denmark","Lithuania","Denmark->Lithuania",2011,0,178
"Denmark","Luxembourg","Denmark->Luxembourg",2011,1266,179
"Denmark","Malta","Denmark->Malta",2011,101,180
"Denmark","Netherlands","Denmark->Netherlands",2011,0,181
"Denmark","Poland","Denmark->Poland",2011,454,182
"Denmark","Portugal","Denmark->Portugal",2011,280,183
"Denmark","Romania","Denmark->Romania",2011,44,184
"Denmark","Slovakia","Denmark->Slovakia",2011,48,185
"Denmark","Slovenia","Denmark->Slovenia",2011,37,186
"Denmark","Spain","Denmark->Spain",2011,4505,187
"Denmark","Sweden","Denmark->Sweden",2011,28115,188
"Denmark","United Kingdom","Denmark->United Kingdom",2011,16270,189
"Estonia","Austria","Estonia->Austria",2011,309,190
"Estonia","Belgium","Estonia->Belgium",2011,NA,191
"Estonia","Bulgaria","Estonia->Bulgaria",2011,49,192
"Estonia","Croatia","Estonia->Croatia",2011,12,193
"Estonia","Cyprus","Estonia->Cyprus",2011,192,194
"Estonia","Czech Republic","Estonia->Czech Republic",2011,158,195
"Estonia","Denmark","Estonia->Denmark",2011,1076,196
"Estonia","Finland","Estonia->Finland",2011,21706,197
"Estonia","France","Estonia->France",2011,663,198
"Estonia","Germany","Estonia->Germany",2011,7380,199
"Estonia","Greece","Estonia->Greece",2011,120,200
"Estonia","Hungary","Estonia->Hungary",2011,108,201
"Estonia","Ireland","Estonia->Ireland",2011,NA,202
"Estonia","Italy","Estonia->Italy",2011,997,203
"Estonia","Latvia","Estonia->Latvia",2011,2603,204
"Estonia","Lithuania","Estonia->Lithuania",2011,926,205
"Estonia","Luxembourg","Estonia->Luxembourg",2011,362,206
"Estonia","Malta","Estonia->Malta",2011,32,207
"Estonia","Netherlands","Estonia->Netherlands",2011,0,208
"Estonia","Poland","Estonia->Poland",2011,163,209
"Estonia","Portugal","Estonia->Portugal",2011,105,210
"Estonia","Romania","Estonia->Romania",2011,15,211
"Estonia","Slovakia","Estonia->Slovakia",2011,19,212
"Estonia","Slovenia","Estonia->Slovenia",2011,12,213
"Estonia","Spain","Estonia->Spain",2011,650,214
"Estonia","Sweden","Estonia->Sweden",2011,4541,215
"Estonia","United Kingdom","Estonia->United Kingdom",2011,7410,216
"Finland","Austria","Finland->Austria",2011,1147,217
"Finland","Belgium","Finland->Belgium",2011,NA,218
"Finland","Bulgaria","Finland->Bulgaria",2011,37,219
"Finland","Croatia","Finland->Croatia",2011,22,220
"Finland","Cyprus","Finland->Cyprus",2011,224,221
"Finland","Czech Republic","Finland->Czech Republic",2011,244,222
"Finland","Denmark","Finland->Denmark",2011,2386,223
"Finland","Estonia","Finland->Estonia",2011,1388,224
"Finland","France","Finland->France",2011,2914,225
"Finland","Germany","Finland->Germany",2011,9160,226
"Finland","Greece","Finland->Greece",2011,698,227
"Finland","Hungary","Finland->Hungary",2011,401,228
"Finland","Ireland","Finland->Ireland",2011,NA,229
"Finland","Italy","Finland->Italy",2011,2004,230
"Finland","Latvia","Finland->Latvia",2011,121,231
"Finland","Lithuania","Finland->Lithuania",2011,0,232
"Finland","Luxembourg","Finland->Luxembourg",2011,794,233
"Finland","Malta","Finland->Malta",2011,64,234
"Finland","Netherlands","Finland->Netherlands",2011,0,235
"Finland","Poland","Finland->Poland",2011,214,236
"Finland","Portugal","Finland->Portugal",2011,230,237
"Finland","Romania","Finland->Romania",2011,37,238
"Finland","Slovakia","Finland->Slovakia",2011,17,239
"Finland","Slovenia","Finland->Slovenia",2011,26,240
"Finland","Spain","Finland->Spain",2011,4030,241
"Finland","Sweden","Finland->Sweden",2011,99550,242
"Finland","United Kingdom","Finland->United Kingdom",2011,10850,243
"France","Austria","France->Austria",2011,5759,244
"France","Belgium","France->Belgium",2011,NA,245
"France","Bulgaria","France->Bulgaria",2011,292,246
"France","Croatia","France->Croatia",2011,1300,247
"France","Cyprus","France->Cyprus",2011,512,248
"France","Czech Republic","France->Czech Republic",2011,2194,249
"France","Denmark","France->Denmark",2011,5234,250
"France","Estonia","France->Estonia",2011,103,251
"France","Finland","France->Finland",2011,1454,252
"France","Germany","France->Germany",2011,82550,253
"France","Greece","France->Greece",2011,5367,254
"France","Hungary","France->Hungary",2011,2088,255
"France","Ireland","France->Ireland",2011,NA,256
"France","Italy","France->Italy",2011,89879,257
"France","Latvia","France->Latvia",2011,84,258
"France","Lithuania","France->Lithuania",2011,0,259
"France","Luxembourg","France->Luxembourg",2011,23110,260
"France","Malta","France->Malta",2011,310,261
"France","Netherlands","France->Netherlands",2011,0,262
"France","Poland","France->Poland",2011,3672,263
"France","Portugal","France->Portugal",2011,86558,264
"France","Romania","France->Romania",2011,1240,265
"France","Slovakia","France->Slovakia",2011,289,266
"France","Slovenia","France->Slovenia",2011,603,267
"France","Spain","France->Spain",2011,167595,268
"France","Sweden","France->Sweden",2011,6661,269
"France","United Kingdom","France->United Kingdom",2011,114615,270
"Germany","Austria","Germany->Austria",2011,140943,271
"Germany","Belgium","Germany->Belgium",2011,NA,272
"Germany","Bulgaria","Germany->Bulgaria",2011,1365,273
"Germany","Croatia","Germany->Croatia",2011,28423,274
"Germany","Cyprus","Germany->Cyprus",2011,1510,275
"Germany","Czech Republic","Germany->Czech Republic",2011,11480,276
"Germany","Denmark","Germany->Denmark",2011,24085,277
"Germany","Estonia","Germany->Estonia",2011,925,278
"Germany","Finland","Germany->Finland",2011,4628,279
"Germany","France","Germany->France",2011,158935,280
"Germany","Greece","Germany->Greece",2011,105522,281
"Germany","Hungary","Germany->Hungary",2011,15285,282
"Germany","Ireland","Germany->Ireland",2011,NA,283
"Germany","Italy","Germany->Italy",2011,175018,284
"Germany","Latvia","Germany->Latvia",2011,1933,285
"Germany","Lithuania","Germany->Lithuania",2011,979,286
"Germany","Luxembourg","Germany->Luxembourg",2011,10149,287
"Germany","Malta","Germany->Malta",2011,759,288
"Germany","Netherlands","Germany->Netherlands",2011,0,289
"Germany","Poland","Germany->Poland",2011,16932,290
"Germany","Portugal","Germany->Portugal",2011,22939,291
"Germany","Romania","Germany->Romania",2011,1994,292
"Germany","Slovakia","Germany->Slovakia",2011,905,293
"Germany","Slovenia","Germany->Slovenia",2011,6171,294
"Germany","Spain","Germany->Spain",2011,146595,295
"Germany","Sweden","Germany->Sweden",2011,26687,296
"Germany","United Kingdom","Germany->United Kingdom",2011,239020,297
"Greece","Austria","Greece->Austria",2011,2632,298
"Greece","Belgium","Greece->Belgium",2011,NA,299
"Greece","Bulgaria","Greece->Bulgaria",2011,1156,300
"Greece","Croatia","Greece->Croatia",2011,41,301
"Greece","Cyprus","Greece->Cyprus",2011,15011,302
"Greece","Czech Republic","Greece->Czech Republic",2011,468,303
"Greece","Denmark","Greece->Denmark",2011,1225,304
"Greece","Estonia","Greece->Estonia",2011,11,305
"Greece","Finland","Greece->Finland",2011,164,306
"Greece","France","Greece->France",2011,8396,307
"Greece","Germany","Greece->Germany",2011,120040,308
"Greece","Hungary","Greece->Hungary",2011,358,309
