orig,dest,stock,year,sd,upp50,lwr50,upp80,lwr80,model
Austria,Belgium,2067.63561656516,2011,312.550429114071,2280.49446567394,1868.63743686577,2514.8576283918,1708.57228904367,Main
Austria,Bulgaria,129.35647394787,2011,2.5198655106289,131.087436243681,127.893825169408,132.849820903316,126.578152347462,Main
Austria,Croatia,3926.10558713313,2011,75.6045763901341,3978.37877216662,3881.32038316227,4028.79490830316,3844.08260527556,Main
Austria,Cyprus,131.738314009028,2011,2.5539721615141,133.542082807012,130.184789085216,135.266456088258,128.898165561638,Main
Austria,Czechia,1550.14710624994,2011,228.859677764434,1703.64276434984,1398.95680143503,1857.03914669397,1282.86003665261,Main
Austria,Denmark,1172.23305062539,2011,22.2229526211834,1188.67355734574,1159.2365750183,1203.99797674189,1146.9778950285,Main
Austria,Estonia,37.4534185363253,2011,0.700455005802831,37.9386524983693,37.0411125216892,38.4286919213315,36.6696584183564,Main
Austria,Finland,409.028197277204,2011,7.79434886266079,414.151385824233,404.157637468749,419.522579664786,400.077180154749,Main
Austria,France,7872.3668189236,2011,151.880526687074,7979.66065470438,7778.09895343217,8089.90078954208,7699.99234953068,Main
Austria,Germany,123421.847868693,2011,2408.0335157591,125024.193883861,121924.912764359,126741.008531494,120709.374837271,Main
Austria,Greece,1684.83317887032,2011,32.2381624456276,1706.6702075445,1664.93216277968,1728.21238907328,1648.09322268902,Main
Austria,Hungary,3172.0221501616,2011,60.72261442419,3213.06518168669,3135.55595840792,3255.45767862555,3102.76649975017,Main
Austria,Ireland,542.251286455053,2011,94.4467785259926,608.486452362656,479.573011249811,672.414296646662,435.107209501709,Main
Austria,Italy,9332.0218575725,2011,180.125954966631,9455.26170494919,9223.56055053545,9584.86496577295,9121.46862159583,Main
Austria,Latvia,72.8718278948981,2011,1.40507173304158,73.813526654361,72.0242379781994,74.8471508621507,71.2447850438356,Main
