"year","name","flow","sd","upp50","lwr50","upp80","lwr80","source_name","source"
2011,"Austria",192996.697275446,6520.82094082888,198003.389725411,187814.588150312,200627.458543448,183173.76697715,"Estimate","Estimate"
2011,"Belgium",286217.005689738,10464.279685254,294305.612976074,278125.01324278,299015.754391332,272730.51934088,"Estimate","Estimate"
2011,"Bulgaria",451709.622836552,14703.5434008874,462948.661823109,439566.105822815,468336.653202304,429209.263030487,"Estimate","Estimate"
2011,"Croatia",251680.222862142,8100.3358850865,258006.96297413,245199.189293956,260781.041092745,239662.405410009,"Estimate","Estimate"
2011,"Cyprus",86265.97131859,2947.93093169555,88603.9856449236,83945.0897447486,89741.6722364132,82024.8469767542,"Estimate","Estimate"
2011,"Czechia",117144.617389824,40508.7251591655,142049.397693182,98900.0849463576,180613.387377817,87410.6602900605,"Estimate","Estimate"
2011,"Denmark",85846.7840503709,2832.85913297904,87951.3268179567,83562.9391805941,89079.8914592029,81580.3879674497,"Estimate","Estimate"
2011,"Estonia",56219.0843607339,1859.85870768417,57542.5496914517,54784.2608759454,58516.9382833032,53482.6581634923,"Estimate","Estimate"
2011,"Finland",151163.272817296,5132.67267142364,154985.806936231,146862.2547995,157483.033700646,143241.762856761,"Estimate","Estimate"
2011,"France",787646.294864448,33123.5008957041,813290.194148852,761492.178517131,828476.508977558,741289.776822595,"Estimate","Estimate"
2011,"Germany",1371353.81695666,44818.1695643812,1403133.27023715,1336237.24844272,1421799.00220372,1302633.61420049,"Estimate","Estimate"
2011,"Greece",234338.964060104,8191.58617852301,239812.869035973,227597.069764719,243551.802326387,221810.772699506,"Estimate","Estimate"
2011,"Hungary",216066.300653989,7280.32572433118,221170.806527944,210186.281940946,224914.72025634,205640.6876479,"Estimate","Estimate"
2011,"Ireland",325857.353851214,11120.1619591461,334566.836010356,316489.425239333,339699.623771147,309843.636593853,"Estimate","Estimate"
2011,"Italy",761944.346585358,26316.0206992441,782419.45350918,738210.810412541,793240.952698958,723138.51279908,"Estimate","Estimate"
2011,"Latvia",117165.382721146,4919.37981888419,120939.514509426,113585.807906718,124017.777093327,111302.714060932,"Estimate","Estimate"
2011,"Lithuania",214585.828902486,8928.55027011543,220747.203313479,206885.678821739,225284.791144737,201378.559032946,"Estimate","Estimate"
2011,"Luxembourg",39877.5105886099,1618.07860764688,40984.3801126255,38596.6858223908,41927.1572781285,37762.8704857202,"Estimate","Estimate"
2011,"Malta",28842.0686703111,1186.16849226738,29449.932461308,28127.7166385415,30064.4712474457,27446.4174629863,"Estimate","Estimate"
2011,"Netherlands",307811.65904258,14052.9555174735,317320.338834491,297035.194537495,326428.478621341,291072.972511705,"Estimate","Estimate"
2011,"Poland",2325738.99432524,79159.0676727563,2384447.94679258,2257624.83494155,2420362.78209222,2206989.52890611,"Estimate","Estimate"
2011,"Portugal",864928.340976026,28669.5604657711,887278.691888651,841819.831428707,899301.690659112,824419.897437617,"Estimate","Estimate"
2011,"Romania",2275133.09185576,75037.034049917,2343441.98347049,2227904.17441292,2373344.54323533,2175059.15837214,"Estimate","Estimate"
2011,"Slovakia",211654.598859926,10758.3223323475,217615.3783189,203036.929913056,224763.296996693,197220.404771172,"Estimate","Estimate"
2011,"Slovenia",62268.6601105832,2022.56931712613,63851.1329136234,60744.4508553243,64720.2196841052,59137.4978700987,"Estimate","Estimate"
