"year","name","flow","sd","upp50","lwr50","upp80","lwr80","source_name","source"
2011,"Austria",444009.667220808,14793.6292004727,454955.709156819,432101.745845829,461300.441054103,421664.996886781,"Estimate","Estimate"
2011,"Belgium",517473.966787857,33390.6146463348,540056.175038479,494992.922294773,562658.272085526,474486.227313659,"Estimate","Estimate"
2011,"Bulgaria",9744.32182115461,323.897863837567,10010.3136776989,9505.21184585209,10126.0167104804,9287.12717803003,"Estimate","Estimate"
2011,"Croatia",58194.6533486083,2093.12289765112,59372.0981490073,56715.099596722,60503.2238696662,55376.4208988536,"Estimate","Estimate"
2011,"Cyprus",94073.005747235,3051.00743943606,95966.6508417612,91334.5425560542,97176.5064416608,88827.1792482308,"Estimate","Estimate"
2011,"Czechia",100170.399557292,9172.33526810063,106319.633208747,93985.6838043413,111550.483977865,88903.9279083068,"Estimate","Estimate"
2011,"Denmark",138427.598416336,4467.46081799231,141906.687408543,134921.563825118,144010.002425649,132061.840296753,"Estimate","Estimate"
2011,"Estonia",8666.45310056435,283.87749703992,8895.26699106582,8459.46032145216,9015.91627035412,8260.49026909642,"Estimate","Estimate"
2011,"Finland",77438.8264107985,2504.86332240787,79514.1278042191,75555.0052845761,80504.4121375911,73721.9704505608,"Estimate","Estimate"
2011,"France",1505893.73124375,48870.4163661851,1547162.29188942,1470767.23999118,1565210.56689136,1439970.45052467,"Estimate","Estimate"
2011,"Germany",2846470.67690194,92697.1307834332,2903353.19231606,2754176.19683358,2944167.16953412,2709356.52975881,"Estimate","Estimate"
2011,"Greece",319893.624720121,10204.9654065416,327355.574332186,311240.192175634,331394.681976251,304581.398747212,"Estimate","Estimate"
2011,"Hungary",191683.735298373,6486.55996655597,196095.290807983,186227.992453287,199319.314391132,181898.518925667,"Estimate","Estimate"
2011,"Ireland",414429.619387585,35150.784703129,437147.371434854,390186.049764168,459681.814194607,370578.15476032,"Estimate","Estimate"
2011,"Italy",1390734.12876195,46151.2620630613,1433077.0193473,1360933.13930195,1451430.21232398,1329620.73140806,"Estimate","Estimate"
2011,"Latvia",19675.9433409721,638.287422552298,20141.5514011834,19141.7070450808,20376.1991937995,18742.2426603366,"Estimate","Estimate"
2011,"Lithuania",11701.9286408225,405.978292695781,11983.530285919,11424.6268624625,12179.0659469616,11138.1256208431,"Estimate","Estimate"
2011,"Luxembourg",141038.791708629,4504.8033201432,144269.763450623,137292.471046374,146279.212005556,134321.949353476,"Estimate","Estimate"
2011,"Malta",14437.9359577151,699.431254215412,14898.0637156326,14070.9875958313,15351.4372888267,13644.1854803596,"Estimate","Estimate"
2011,"Netherlands",333006.27069248,20774.7147113847,346106.892280224,317733.392006571,357427.90258028,306254.009132065,"Estimate","Estimate"
2011,"Poland",53792.3813103323,2459.99483073101,55141.4914430007,52058.2008939584,56630.1720825562,50614.5755062935,"Estimate","Estimate"
2011,"Portugal",184659.072912775,6014.23355877528,189783.79054215,180208.315994804,192300.682541154,175914.164097287,"Estimate","Estimate"
2011,"Romania",11628.0072186035,377.579478598344,11879.4132499905,11307.1207454728,12055.8868952443,11049.3885242666,"Estimate","Estimate"
2011,"Slovakia",29411.0872241307,2306.94997955319,30859.3570682277,27825.195365196,32746.9237281709,26532.2227304525,"Estimate","Estimate"
2011,"Slovenia",50938.7658805623,1672.89911538525,52258.1334831554,49656.3483481202,52967.6777685064,48525.8262798162,"Estimate","Estimate"
2011,"Spain",1625774.81968482,53070.761624512,1674256.90115651,1587261.30131913,1690350.58067545,1548199.94820898,"Estimate","Estimate"
2011,"Sweden",350924.565866282,11472.1174443969,359913.995764241,342674.232396356,365335.643120602,333941.480738614,"Estimate","Estimate"
2011,"UK",2200158.98631995,67744.8116278794,2246881.32903111,2148247.88490755,2287227.03082885,2106014.77285097,"Estimate","Estimate"
2012,"Austria",454685.760579242,28298.4162520198,474795.83203271,435780.711164304,496374.639291971,420055.576298133,"Estimate","Estimate"
2012,"Belgium",572655.485767177,33239.0655531052,598046.31449316,551094.324204604,618843.906999547,532303.723363292,"Estimate","Estimate"
2012,"Bulgaria",11128.4066331961,614.924167862539,11498.2046843981,10696.5262664472,11896.1661606997,10316.9408473581,"Estimate","Estimate"
2012,"Croatia",59272.534974546,8072.76168241563,64378.6856991741,53810.3240568341,70717.2992058488,50461.1682500834,"Estimate","Estimate"
2012,"Cyprus",92926.1829395718,10426.6317832983,99640.9283076213,85615.8426306883,107859.397111418,80332.1718998518,"Estimate","Estimate"
2012,"Czechia",141478.507983392,11695.5069550494,150263.866769127,135098.16249171,159334.107318212,127908.640276761,"Estimate","Estimate"
2012,"Denmark",145797.775053368,7384.59587476862,150394.920961133,140740.381574763,155470.272933372,135720.829748192,"Estimate","Estimate"
2012,"Estonia",10049.1446923208,865.339274053872,10678.5511652088,9525.4266045831,11204.6239706744,9000.55158297312,"Estimate","Estimate"
2012,"Finland",84035.5692272407,6161.55804376457,88321.9539476696,80162.606281899,92504.8010111809,76682.3962656478,"Estimate","Estimate"
2012,"France",1546727.36262964,151324.355147762,1641714.56359963,1432973.15659317,1741673.55336622,1360527.50010506,"Estimate","Estimate"
2012,"Germany",3007275.82834325,284413.507261135,3195918.59368164,2822258.5903394,3372984.53702739,2669666.82780439,"Estimate","Estimate"
