"year","name","flow","sd","upp50","lwr50","upp80","lwr80","source_name","source"
2011,"Austria",231634.404585659,12059.7605885738,239507.314631221,218969.782064449,243628.545453412,212065.381316617,"Estimate","Estimate"
2011,"Belgium",344381.050704832,18708.5523833679,357275.399744432,327681.281994126,364667.812183155,316656.049547534,"Estimate","Estimate"
2011,"Bulgaria",541419.139400976,27938.2385711938,561260.218345344,514116.269432743,569138.432104214,498033.875804892,"Estimate","Estimate"
2011,"Croatia",301721.798174708,15606.1375271664,313525.729104344,286731.43722349,317921.68401009,277701.938422341,"Estimate","Estimate"
2011,"Cyprus",103336.327866028,5397.43725322729,107504.861553986,98420.9989365317,109033.965407201,95377.8076903624,"Estimate","Estimate"
2011,"Czechia",189614.078507802,70971.7445211453,235770.384680364,156126.086851636,282895.692404701,137741.476640216,"Estimate","Estimate"
2011,"Denmark",103090.988856926,5301.37341908547,106763.176990079,97724.788744662,108178.014080835,95106.482414361,"Estimate","Estimate"
2011,"Estonia",67430.9885236114,3463.08070972114,69931.1104909551,64197.3794975858,70886.4212392794,62139.9442585389,"Estimate","Estimate"
2011,"Finland",180834.551819258,9340.66652535376,188063.343137819,172364.503954248,190620.929543603,166591.366098619,"Estimate","Estimate"
2011,"France",947488.374085862,51088.4743766715,978272.193738462,899229.290163075,1000783.67794633,865297.243241149,"Estimate","Estimate"
2011,"Germany",1647580.80040988,84015.5736516656,1699222.97498952,1557276.30696524,1725272.19759871,1503518.14600796,"Estimate","Estimate"
2011,"Greece",280925.591727884,14570.1479254403,290306.732268201,266680.366661358,295322.353100123,258777.630076116,"Estimate","Estimate"
2011,"Hungary",257747.16759891,13224.1626533191,268415.943441809,246064.786552273,272059.480948779,237589.172037515,"Estimate","Estimate"
2011,"Ireland",389752.926022356,20718.0726630002,405574.288290411,370681.734498021,411642.194475143,358062.643123059,"Estimate","Estimate"
2011,"Italy",913425.801657028,48198.4860673769,948715.031899608,871198.495837984,965767.384813343,842089.782956111,"Estimate","Estimate"
2011,"Latvia",140843.142780495,7947.87315560625,146319.541610664,134277.53165558,149034.371145348,128221.721618766,"Estimate","Estimate"
2011,"Lithuania",255244.009477586,14849.3604739994,267622.356428459,244206.866157559,273055.327104231,234464.10832725,"Estimate","Estimate"
2011,"Luxembourg",47868.3681153482,2760.43948994395,49588.9213875184,45714.1016737034,50927.9033633425,43657.4849812413,"Estimate","Estimate"
2011,"Malta",34924.4234363897,2458.21683838126,36066.5367889812,32647.7791131745,37384.6458488843,31747.6427009512,"Estimate","Estimate"
2011,"Netherlands",367734.517883678,24106.8128999123,387424.622093112,352391.449556291,402816.329654593,336001.291434987,"Estimate","Estimate"
2011,"Poland",2773091.12464279,147186.447254905,2893290.93860533,2644872.74641702,2937063.29927994,2547182.56879638,"Estimate","Estimate"
