"year","name","flow","sd","upp50","lwr50","upp80","lwr80","source_name","source"
2011,"Austria",189823.250492877,4832.2449157752,193476.149582313,187235.491015997,195795.53257413,183243.265361216,"Estimate","Estimate"
2011,"Belgium",283932.836564652,7847.91921641784,288957.325336609,278768.655266896,292535.678064574,273707.222291175,"Estimate","Estimate"
2011,"Bulgaria",445730.463039593,10731.6079792636,452132.926306734,438341.200569429,457903.796768331,428677.469484396,"Estimate","Estimate"
2011,"Croatia",247972.650465183,5901.21488609617,251511.763200059,243635.634083139,254739.094900431,238640.077379201,"Estimate","Estimate"
2011,"Cyprus",84887.1723004637,2092.54938004344,86277.5964475572,83305.1285333853,87662.2263932404,81967.9964274082,"Estimate","Estimate"
2011,"Czechia",181302.232956117,231898.752522212,323073.879645205,132191.118961727,548688.569314287,98513.6351055413,"Estimate","Estimate"
2011,"Denmark",84276.2981599266,2255.57787896187,85797.7620344211,82868.526733836,87137.7490463579,81249.4674593945,"Estimate","Estimate"
2011,"Estonia",54390.8986881304,1895.03073946283,55342.600873383,53076.2574716489,56196.4482767037,51873.062840825,"Estimate","Estimate"
2011,"Finland",148686.888843147,3774.00234408818,151508.622287962,146354.949393497,153398.394333651,143519.749202698,"Estimate","Estimate"
2011,"France",790129.490445077,46268.7600372,820218.808278198,766050.564328712,851256.278444154,742604.528713594,"Estimate","Estimate"
2011,"Germany",1353623.68279592,34974.7152105833,1374799.99353486,1323580.82687622,1394185.93885958,1302660.86266174,"Estimate","Estimate"
2011,"Greece",230582.063772098,5859.21450166362,234902.110533236,226161.119539572,237421.704957017,222088.152636666,"Estimate","Estimate"
2011,"Hungary",213099.12196216,6718.61530930249,216567.769779155,208338.249289771,220203.777514969,204455.950551306,"Estimate","Estimate"
2011,"Ireland",320971.294907815,8113.93066455184,326223.265582199,314918.619283089,330104.839024047,309041.495450964,"Estimate","Estimate"
2011,"Italy",754280.710460632,21034.4334551474,767256.385015441,741640.536712556,780910.24310821,724818.116759447,"Estimate","Estimate"
2011,"Latvia",116239.905856606,4318.77476707475,119020.104582717,113574.812928794,122136.222875358,110702.684498278,"Estimate","Estimate"
2011,"Lithuania",210726.781164687,7532.09116700781,216907.567643776,206720.055455574,222059.412921478,201986.055350502,"Estimate","Estimate"
2011,"Luxembourg",39419.0027885166,1294.80101668808,40225.0929505627,38535.8463014415,41157.3021766157,37853.6650772911,"Estimate","Estimate"
2011,"Malta",27958.1061720401,1288.4331523623,28549.0286995363,27353.3677756826,29539.9421351251,26792.6953816469,"Estimate","Estimate"
2011,"Netherlands",308667.515946654,14057.8111694341,317589.705482743,299913.538966079,326246.722250211,291080.064495128,"Estimate","Estimate"
2011,"Poland",2310954.59848857,65348.1617955463,2353513.71118033,2270757.57637004,2397458.14809259,2224403.16420242,"Estimate","Estimate"
2011,"Portugal",856844.383891487,23314.6548588826,871464.231351914,837944.490960227,883566.107448208,821939.392773911,"Estimate","Estimate"
2011,"Romania",2247253.86925291,53338.5066407833,2281545.39143643,2213643.0399782,2313426.79868347,2162475.56139475,"Estimate","Estimate"
2011,"Slovakia",210645.60074461,8779.78054554615,216591.377139548,205533.989232777,221320.400550161,199246.402036842,"Estimate","Estimate"
2011,"Slovenia",61247.1261634749,1397.21953673721,62214.1409987475,60402.4315094956,63015.2204550238,59188.0847358168,"Estimate","Estimate"
2011,"Spain",376453.27642767,10235.8389474867,383591.900869754,370046.670951177,389292.291483478,361925.48043561,"Estimate","Estimate"
2011,"Sweden",128596.937104059,3088.79710261907,130734.74518446,126542.690301469,132310.35080976,123975.41367271,"Estimate","Estimate"
2011,"UK",794139.472803978,36091.8295918438,816838.839415175,766561.36506159,835678.660574544,747031.343531572,"Estimate","Estimate"
2012,"Austria",185576.825058461,30519.4423677717,209884.743726519,168888.249603473,231364.012016753,153369.696286026,"Estimate","Estimate"
2012,"Belgium",293228.84348921,27231.2171081241,310703.049370929,273250.885003308,331411.403187063,260930.1963983,"Estimate","Estimate"
2012,"Bulgaria",487146.376125523,36640.2683479235,510967.620537287,462390.902462917,537333.257713802,445000.805839269,"Estimate","Estimate"
2012,"Croatia",254163.896864022,29447.7900705987,276049.29708696,235269.069065002,295468.870110199,221213.680576229,"Estimate","Estimate"
2012,"Cyprus",84188.528770945,14794.6007062817,97021.1469679194,74928.4912218004,105971.621726889,69806.0547628623,"Estimate","Estimate"
2012,"Czechia",224082.031000798,205197.302869965,338993.458984595,173001.463021103,597375.47406571,137102.288325508,"Estimate","Estimate"
2012,"Denmark",89545.3483246923,7768.84090134724,94992.6329997485,84738.2320591657,100172.170676808,80917.6544033953,"Estimate","Estimate"
2012,"Estonia",60657.3395170956,5032.35858022077,64697.371508319,57829.1025961913,67673.1003850357,55011.1414143994,"Estimate","Estimate"
2012,"Finland",151166.77170445,14506.4768265921,160317.417394823,141865.268615671,169948.936411887,135229.32366893,"Estimate","Estimate"
2012,"France",809944.078414812,52290.514881628,847919.664844316,779158.421594385,884066.397970816,746513.332755601,"Estimate","Estimate"
2012,"Germany",1350598.38094344,81087.7285544223,1405675.59191641,1297736.93527826,1464226.79798012,1254915.54176894,"Estimate","Estimate"
2012,"Greece",163691.656876742,16067.7544621777,175862.294051889,153599.010984871,185666.04876935,146860.958759143,"Estimate","Estimate"
2012,"Hungary",234344.037845224,21294.4433927582,249498.039334296,221383.917451521,263494.238394786,211821.904013904,"Estimate","Estimate"
2012,"Ireland",296509.589798537,52831.2578167557,334062.212402625,260203.462782213,376510.64900011,239773.953342651,"Estimate","Estimate"
2012,"Italy",784329.709225421,74819.1732650718,833990.859396552,735201.724585627,877792.615134216,696021.78379049,"Estimate","Estimate"
2012,"Latvia",123933.20670434,13917.4790846163,133886.197309373,114188.001043191,142583.571885486,109271.819543561,"Estimate","Estimate"
2012,"Lithuania",227211.584414614,25593.0950632937,245384.131828593,210717.31346404,259107.211615382,197927.607306764,"Estimate","Estimate"
2012,"Luxembourg",42212.6000377271,4002.27264696615,44625.4841538111,39882.7514505668,47667.8615244847,37709.7799408873,"Estimate","Estimate"
2012,"Malta",26797.8046980287,5078.20351111582,30478.8688543422,23985.5130852592,34068.7078664623,21592.6390587824,"Estimate","Estimate"
2012,"Netherlands",325190.490798077,24193.7341024199,342063.118663163,308834.318156047,358940.698001201,297069.757872062,"Estimate","Estimate"
2012,"Poland",2358944.26630877,267192.603775147,2552280.46646181,2163259.27994571,2721318.58590687,2050045.10248496,"Estimate","Estimate"
2012,"Portugal",871713.791330467,105685.048426693,944243.818197754,799789.886996953,1013381.78735581,737540.888908303,"Estimate","Estimate"
2012,"Romania",2518923.74721176,181202.756256955,2646480.24621233,2401963.14265213,2778189.35334803,2308519.11099381,"Estimate","Estimate"
2012,"Slovakia",237179.44583466,20564.0874995264,250733.429027619,224038.294792559,265100.342590621,213342.276449798,"Estimate","Estimate"
2012,"Slovenia",58123.3245954302,5396.13826010538,61912.9413953271,54363.5560825202,64962.5474613845,51192.8492360864,"Estimate","Estimate"
2012,"Spain",393692.999911543,41193.0428161566,418062.153934197,366547.591789774,454703.140507494,344307.558054536,"Estimate","Estimate"
2012,"Sweden",137272.105581507,9948.61282231359,144075.76984917,131398.861729947,150577.294059351,125042.021913873,"Estimate","Estimate"
2012,"UK",812693.11710334,63772.0803185227,857645.428222813,769570.781202414,900153.446508179,732749.534282218,"Estimate","Estimate"
2013,"Austria",183336.863708441,34366.6952069097,205149.318431709,162261.509783806,230801.182099241,146618.255575104,"Estimate","Estimate"
2013,"Belgium",301772.193429147,33918.4241337529,324122.166842737,280824.097773746,351387.70716134,264541.244815448,"Estimate","Estimate"
2013,"Bulgaria",522924.0971775,46723.2664162879,557427.294605823,494597.478163199,589035.475939239,473053.837049785,"Estimate","Estimate"
2013,"Croatia",261284.815380419,35762.2204475215,285978.898688423,238759.159641535,313494.018280661,220416.658630414,"Estimate","Estimate"
2013,"Cyprus",82061.0222378327,16726.5839382767,94788.8748060228,72501.1159490148,106969.617721176,64124.6817011171,"Estimate","Estimate"
2013,"Czechia",246594.916033939,191678.87337999,358400.758016202,201962.013123213,564142.681338339,171568.843114526,"Estimate","Estimate"
2013,"Denmark",94566.1362111232,10483.8786318582,102349.214128729,87771.7490019119,107827.723264371,82466.5622631341,"Estimate","Estimate"
2013,"Estonia",69159.7443928747,6699.85731443064,73845.6161524065,64750.8710862112,78737.6228855197,61473.9237256284,"Estimate","Estimate"
2013,"Finland",152599.140742392,14610.4691704863,164712.394909027,143482.100774425,173840.61657825,136621.201816697,"Estimate","Estimate"
2013,"France",828484.122385367,69372.0460586421,888059.414525181,780004.958568325,926640.852014838,755206.510553954,"Estimate","Estimate"
2013,"Germany",1367600.09110394,102894.037209206,1438587.30076039,1294744.37426466,1512263.77036368,1230682.90817268,"Estimate","Estimate"
2013,"Greece",128791.836863388,12393.5495040847,137705.435703649,121316.379952411,146989.372834465,114800.105029779,"Estimate","Estimate"
2013,"Hungary",259532.602659189,30736.9920117256,285220.621332649,242714.329656012,310380.734182768,228554.127872167,"Estimate","Estimate"
2013,"Ireland",281159.379184146,65543.5347106773,330589.546558143,242720.634463226,389844.477842734,214184.280537936,"Estimate","Estimate"
2013,"Italy",808069.719962145,89554.6006408819,871256.96138776,752970.403000429,937905.786693689,717270.661862606,"Estimate","Estimate"
2013,"Latvia",129665.509052775,18347.2165080203,142116.370441848,119317.641529729,155452.150885749,109476.951909683,"Estimate","Estimate"
2013,"Lithuania",243537.101955117,33790.4445344111,270164.780760265,223239.542757399,289945.162051686,208132.795405767,"Estimate","Estimate"
2013,"Luxembourg",45242.5185965511,5668.37415367314,49013.8994228003,41919.4097035886,53208.5744096033,38586.1984130222,"Estimate","Estimate"
2013,"Malta",26094.9225947649,6185.50227633687,30262.6604130667,22353.1871506303,34252.0254163967,19339.3147064719,"Estimate","Estimate"
2013,"Netherlands",338733.912044668,32134.7107942495,360779.357874822,316772.371652327,377332.926612864,298970.332188112,"Estimate","Estimate"
2013,"Poland",2415881.11557666,365956.189153659,2649856.82516105,2184029.4355562,2896234.17168395,1988430.43994789,"Estimate","Estimate"
2013,"Portugal",865301.1284665,138876.088554979,977132.413411447,775933.888550887,1058055.66554769,703742.104136714,"Estimate","Estimate"
2013,"Romania",2745400.85295504,235436.747836856,2904176.64255717,2583729.95548146,3041459.70485357,2450369.38182135,"Estimate","Estimate"
2013,"Slovakia",262937.825351711,28503.9904227933,280603.32358389,243835.232697688,304055.286368498,231136.496316292,"Estimate","Estimate"
2013,"Slovenia",58706.8157956619,7222.57635234997,63822.2792197957,54526.7405224308,69250.7985375625,51248.8085883495,"Estimate","Estimate"
2013,"Spain",412577.039883226,45540.5120678639,440985.190586692,382532.595965437,470107.987552801,357483.729954313,"Estimate","Estimate"
2013,"Sweden",143708.983856777,12459.9881718058,153577.394996409,136402.80042063,161787.934768984,129938.991723646,"Estimate","Estimate"
2013,"UK",814345.23835644,67942.0071836159,864265.315576611,771088.240254735,903803.640971809,730580.396980628,"Estimate","Estimate"
2014,"Austria",178527.14015894,33290.0746842255,207194.204619777,157038.300591023,228120.017456473,145963.494769945,"Estimate","Estimate"
2014,"Belgium",311427.873950842,31912.7903994748,331746.11889189,293054.271706356,353397.426047467,275518.421175338,"Estimate","Estimate"
2014,"Bulgaria",555416.195478622,54206.5859550207,592164.601178244,528483.311638247,633919.039941411,505619.181758449,"Estimate","Estimate"
2014,"Croatia",262113.948577526,39298.6229521418,293630.953089292,241318.712346604,320351.57179592,226246.810908466,"Estimate","Estimate"
2014,"Cyprus",80832.7485596963,17084.1654582161,93677.9183946373,71717.2757731848,106253.413121685,64208.8599929239,"Estimate","Estimate"
2014,"Czechia",258397.99219158,162912.846726812,350800.692937621,212688.127244834,523868.533772815,184229.075577412,"Estimate","Estimate"
2014,"Denmark",98161.0435192575,11810.8465064677,106076.442280101,90755.3363037734,115159.840135433,86607.7846069278,"Estimate","Estimate"
2014,"Estonia",78322.1669247146,7283.07419337612,83477.7127929669,73541.9044654435,87778.3922542721,69325.3716958232,"Estimate","Estimate"
2014,"Finland",154842.186353465,16205.1935873657,165974.332199225,145075.790015993,176167.074378051,135604.300520537,"Estimate","Estimate"
2014,"France",854603.214641395,65609.296263795,898811.276949294,812999.595410805,940138.747210871,774717.43899966,"Estimate","Estimate"
2014,"Germany",1371464.86547568,92474.470551412,1432941.62145595,1313825.38575874,1497417.63660944,1269578.10543354,"Estimate","Estimate"
2014,"Greece",109573.988199442,9629.25140656474,116721.166314642,104233.307031089,124806.813297672,99171.5564306667,"Estimate","Estimate"
2014,"Hungary",291658.145630615,37953.5915969209,316409.389346287,266813.228297123,346958.06145111,251448.863540684,"Estimate","Estimate"
2014,"Ireland",270603.713907091,64834.1729552773,309220.209995494,231115.263600291,358909.894537601,203945.670320281,"Estimate","Estimate"
2014,"Italy",843505.292000101,102330.314339922,927457.60049955,780537.062513665,983344.227731035,731810.316641758,"Estimate","Estimate"
2014,"Latvia",136934.704307688,21006.403824458,154555.568299762,124722.738274988,169444.038492395,114838.561202433,"Estimate","Estimate"
2014,"Lithuania",261313.097307987,37382.510939192,285379.133454478,238774.144670842,311931.831674916,220301.743735184,"Estimate","Estimate"
2014,"Luxembourg",48164.8698671282,6334.12438873642,52428.4165340789,44144.6561118551,57686.1430876504,40779.1744223248,"Estimate","Estimate"
2014,"Malta",24744.8164615842,6720.52475966705,28992.9028301084,21298.7700885375,33509.1018968425,18389.2122203249,"Estimate","Estimate"
2014,"Netherlands",346519.586556552,33418.4865872635,370571.341929862,326184.422628522,394662.83192428,309932.213025188,"Estimate","Estimate"
2014,"Poland",2463536.3251762,354633.559338577,2692418.64241003,2255962.23788257,2935700.56881529,2071206.2275781,"Estimate","Estimate"
2014,"Portugal",861686.425773323,135060.197887359,944124.094645255,775640.248557133,1034846.44328501,697630.901009942,"Estimate","Estimate"
2014,"Romania",2925250.47234957,215486.599455495,3070194.95325328,2787514.47821441,3214545.66980084,2677648.70788115,"Estimate","Estimate"
2014,"Slovakia",284025.094161127,33647.5266700687,305979.032275251,264490.661530658,324661.812448137,247772.543369917,"Estimate","Estimate"
2014,"Slovenia",61348.9828713442,9038.6173281593,68056.807918439,56180.5843285534,74141.8789440914,51464.412821763,"Estimate","Estimate"
2014,"Spain",424272.152621667,48504.2118442895,459830.829466405,399181.508831727,495589.129872113,372990.514167679,"Estimate","Estimate"
2014,"Sweden",152569.313101626,15009.3011664559,163011.300150452,143872.762140252,175443.386401822,134900.443479569,"Estimate","Estimate"
2014,"UK",814255.778428884,71096.6558088643,857836.191994115,766820.103918532,905945.346151228,733351.42996367,"Estimate","Estimate"
2015,"Austria",174583.801649747,29820.9082846311,194099.288162416,157269.247585223,221275.208505391,143905.269273541,"Estimate","Estimate"
2015,"Belgium",318843.750217055,28251.8394087533,337940.177931001,300469.54074797,353376.985672991,284133.74531475,"Estimate","Estimate"
2015,"Bulgaria",599505.7867322,60505.0834250328,641796.284460309,563607.827945213,683696.262010318,533154.993369476,"Estimate","Estimate"
2015,"Croatia",269082.863966205,37957.6927709969,299559.557315198,247745.752609143,328994.349203189,230625.182462306,"Estimate","Estimate"
2015,"Cyprus",80232.4131724679,14453.9370918856,88592.7343957637,70882.0611060252,100533.470538887,63471.4306690661,"Estimate","Estimate"
2015,"Czechia",264502.610202909,138379.20976277,354842.596868436,217561.798664773,491464.5623981,194224.651118,"Estimate","Estimate"
2015,"Denmark",99813.1527285958,13781.6096483239,108656.874109582,93647.7147164645,119492.245363572,86727.0759267573,"Estimate","Estimate"
2015,"Estonia",85846.5763794491,8396.43234293115,92010.4024438874,80573.9819528002,97007.8400475234,76488.6003928805,"Estimate","Estimate"
2015,"Finland",155436.19391176,14243.8659282594,166500.505408718,146796.125051947,174463.4529293,139819.794664043,"Estimate","Estimate"
2015,"France",866002.803975202,60185.0065952595,914647.589231711,828456.093165394,955965.511338051,800101.279399858,"Estimate","Estimate"
2015,"Germany",1387046.13049378,88551.9101308836,1444562.51793015,1329472.1252271,1494765.73909641,1278529.64092307,"Estimate","Estimate"
2015,"Greece",99054.7461065739,6821.77276872871,103746.297369745,94221.7896702118,107670.830878338,90752.5717591014,"Estimate","Estimate"
2015,"Hungary",321182.463040817,40808.0954788651,353075.30033922,299234.269228006,382697.496063322,276074.398762065,"Estimate","Estimate"
2015,"Ireland",254101.915005798,45806.8664076549,294422.216476549,230241.314171663,332522.236337208,212525.189766277,"Estimate","Estimate"
2015,"Italy",877333.094866497,94198.0376381211,928704.488220168,809662.224158268,1008984.00918348,764263.448797555,"Estimate","Estimate"
2015,"Latvia",143939.705501787,20127.6465553759,157858.621938849,133943.738994798,171901.933062245,123734.937719308,"Estimate","Estimate"
2015,"Lithuania",270845.042503044,34581.4963550396,297213.0644447,250458.503715144,321001.560146847,234729.532451332,"Estimate","Estimate"
2015,"Luxembourg",50591.154925118,6452.38352776664,55663.1407691805,46727.1706495422,59154.8028864768,43283.246442678,"Estimate","Estimate"
2015,"Malta",23829.6059382123,7004.44847568128,28779.7486874189,20035.2930545662,33165.0295536088,17753.1716151687,"Estimate","Estimate"
2015,"Netherlands",348496.334502473,31593.3235983697,370650.772987308,331451.427977703,394354.285328271,315814.466168868,"Estimate","Estimate"
2015,"Poland",2491919.66767122,328437.550983191,2684019.61503781,2296351.7456303,2921421.63585012,2100828.44505734,"Estimate","Estimate"
2015,"Portugal",842837.566781447,129650.080132544,956842.996562867,783936.700159336,1035529.92124514,722143.246612292,"Estimate","Estimate"
2015,"Romania",3143649.97668313,265069.856982904,3320312.97477852,2971713.15750439,3518324.41121747,2798931.53063526,"Estimate","Estimate"
2015,"Slovakia",304174.533431547,41421.815116437,334559.369896647,279647.057036896,366101.957513714,257237.134541802,"Estimate","Estimate"
2015,"Slovenia",64505.3423290662,10367.1847756117,72461.0392908542,58141.8602389278,80053.1023799818,54628.6418469776,"Estimate","Estimate"
2015,"Spain",446772.563009464,44645.8682519387,476191.358497469,420895.588075822,509811.101900202,398160.102993751,"Estimate","Estimate"
2015,"Sweden",160257.735728177,15667.2044377694,170612.089951279,150574.148458412,182462.178735957,143820.128207899,"Estimate","Estimate"
2015,"UK",801928.998532786,64077.8040553749,850823.127282425,759964.436114788,897948.65336359,732674.064938107,"Estimate","Estimate"
2016,"Austria",174829.806934636,23547.212086491,189087.38893261,159355.975947032,204979.480328996,146785.758504777,"Estimate","Estimate"
2016,"Belgium",326396.568984609,24392.3636837372,344710.602884053,310943.09177096,364697.372015008,300704.292661254,"Estimate","Estimate"
2016,"Bulgaria",664069.712226752,62699.7148618652,708804.709049099,621430.807197869,752612.755840189,592382.872589138,"Estimate","Estimate"
2016,"Croatia",288229.79292171,37003.5629499537,319864.8114694,266695.944156466,343845.318158101,249399.462561354,"Estimate","Estimate"
2016,"Cyprus",78645.6520948583,10749.3314923857,85940.2930516941,71530.6014730592,92618.0412448552,67260.9767203428,"Estimate","Estimate"
2016,"Czechia",274806.103497683,115858.95271076,348522.3757258,234571.821686026,468795.340077786,203370.599355875,"Estimate","Estimate"
2016,"Denmark",102678.889649341,13773.3366493667,110932.489992582,93428.707890242,121962.824390339,87777.9440385132,"Estimate","Estimate"
2016,"Estonia",91379.7053122183,8907.59616353764,96590.8691416588,86177.0069286193,102964.829045236,81253.9860737611,"Estimate","Estimate"
