"year","name","flow","sd","upp50","lwr50","upp80","lwr80","source_name","source"
2011,"Austria",433039.554321942,11186.1475021435,440514.444313792,422697.001031494,445227.683832749,417492.390519145,"Estimate","Estimate"
2011,"Belgium",530790.133182982,33141.7333672139,554752.02477943,508407.514307001,572557.878757813,494050.924444374,"Estimate","Estimate"
2011,"Bulgaria",9497.97369845534,233.010225359707,9675.20383493978,9261.51680940268,9780.71269815602,9172.73232439812,"Estimate","Estimate"
2011,"Croatia",55871.5975419855,2164.6025020504,57173.8151182398,54289.5139505286,58538.8005795935,53636.3367511648,"Estimate","Estimate"
2011,"Cyprus",90942.3124008586,2133.74003216853,92332.8171816063,88463.3777620056,93332.1356634294,87843.7605444762,"Estimate","Estimate"
2011,"Czechia",103679.083923333,10043.9545222572,110139.58169842,96295.0670522445,117396.649541317,91976.6080368856,"Estimate","Estimate"
2011,"Denmark",135147.545306768,3137.48052205257,136747.215816834,131134.957367202,138060.043366253,130066.332321622,"Estimate","Estimate"
2011,"Estonia",8427.89002268785,199.370682148131,8558.18287213238,8201.79110066229,8622.99511545696,8127.64200250431,"Estimate","Estimate"
2011,"Finland",75648.5573554311,1771.20443626431,76649.5714731211,73479.1395359103,77405.315320951,72891.2528533512,"Estimate","Estimate"
2011,"France",1472349.11101263,36001.9625982089,1492370.5427399,1428668.73134427,1507200.69904115,1416094.0057179,"Estimate","Estimate"
2011,"Germany",2802271.54273743,132347.547159906,2870522.51183249,2723760.84753234,2961199.40888114,2668014.99918199,"Estimate","Estimate"
2011,"Greece",311348.749375944,7454.89413631392,315577.878154487,302386.017354458,318326.042578976,299174.811904789,"Estimate","Estimate"
2011,"Hungary",185689.671348488,4683.47098350811,189084.084486295,181231.253345675,191374.830382042,179089.524027673,"Estimate","Estimate"
2011,"Ireland",408285.57236358,44104.5504933519,435965.277903465,383914.804121949,468458.247430801,367241.832761567,"Estimate","Estimate"
2011,"Italy",1358450.4272359,32073.8965629009,1379586.90342314,1320322.55411326,1390379.18922615,1308797.36658127,"Estimate","Estimate"
2011,"Latvia",19089.9033815452,480.382651889049,19406.5785843358,18597.4722686521,19610.5287555456,18407.981848021,"Estimate","Estimate"
2011,"Lithuania",11051.3399568155,304.195192672255,11309.3831988061,10803.8303014619,11459.4430723146,10664.0920041398,"Estimate","Estimate"
2011,"Luxembourg",137147.943166667,3212.63032110666,138815.411992533,133395.188375008,140144.706274219,132319.190154582,"Estimate","Estimate"
2011,"Malta",13864.3492176292,401.734444560078,14155.3282707486,13480.3320896813,14358.5439976685,13329.7893266809,"Estimate","Estimate"
2011,"Netherlands",340742.294213294,20826.8881527363,356550.143489056,326964.75693093,368293.654939146,314200.266520473,"Estimate","Estimate"
2011,"Poland",52070.7618840031,3965.96962960635,53985.4346197192,50847.2590388692,57973.7697995838,50129.9531093904,"Estimate","Estimate"
2011,"Portugal",180086.083459126,4356.39961619141,182611.794836131,175249.187357875,184872.289590797,173535.67019477,"Estimate","Estimate"
2011,"Romania",11296.2919461208,262.33513382443,11455.5043837389,10959.4932087315,11551.8117587975,10883.8902110658,"Estimate","Estimate"
2011,"Slovakia",30514.4640997625,2739.40345446058,32621.5974489678,29018.7927708228,34581.7174366386,27618.5754218256,"Estimate","Estimate"
2011,"Slovenia",49649.8821208874,1185.69552473016,50363.8777535748,48414.3099941663,50861.1018534407,47804.1467099256,"Estimate","Estimate"
2011,"Spain",1589628.45878184,37648.0187142143,1610540.54596506,1549142.17557691,1629100.50262879,1530520.75745497,"Estimate","Estimate"
2011,"Sweden",342535.076811052,8046.94429045926,346950.7311624,332599.165421943,350557.605543322,330094.463073709,"Estimate","Estimate"
2011,"UK",2150825.98530717,64098.5253646148,2188830.90158367,2085372.79387924,2214898.0319177,2066592.4791803,"Estimate","Estimate"
2012,"Austria",451835.688221973,28111.2957321599,471782.213810582,433315.662420382,492055.796773256,417421.921014061,"Estimate","Estimate"
2012,"Belgium",576836.025336799,30592.5351028694,599291.893661341,557284.284307532,619380.476978011,539988.856430546,"Estimate","Estimate"
2012,"Bulgaria",11411.9511134532,547.508136117322,11732.3990723648,11039.0031901466,12065.0385591263,10655.4680880736,"Estimate","Estimate"
2012,"Croatia",56197.7848453186,7190.83221883012,60927.6758558208,51259.9784070673,65005.8581950293,47753.522496231,"Estimate","Estimate"
2012,"Cyprus",88561.4040315311,9152.42062224623,94668.2587026557,83067.1712425321,101479.288373385,79123.2604962031,"Estimate","Estimate"
2012,"Czechia",144649.59503881,13224.4645082954,154201.110437792,136960.494200917,164044.093088788,131791.51537185,"Estimate","Estimate"
2012,"Denmark",145150.844112743,6518.16228480219,149562.623688039,141059.86906034,154462.986915851,137062.403716246,"Estimate","Estimate"
2012,"Estonia",10122.6712023329,859.41958885367,10650.1452582322,9603.9954821864,11323.7683486082,9112.36171383204,"Estimate","Estimate"
2012,"Finland",83596.0938076017,5822.3711135722,88051.5897671254,79897.2688987945,91615.9357682468,76684.2764892805,"Estimate","Estimate"
2012,"France",1444520.79976572,137432.735028576,1546229.08344644,1348364.04483999,1626992.80436667,1278504.99816406,"Estimate","Estimate"
2012,"Germany",2746424.46304076,278813.414360663,2930184.66767831,2570980.94168373,3105299.97639804,2441906.20107368,"Estimate","Estimate"
2012,"Greece",295893.274555125,29742.4223445922,317042.177875392,278448.908588911,341916.260906989,264639.789270826,"Estimate","Estimate"
2012,"Hungary",201516.32431943,22633.0802035705,217155.59418836,184959.771324144,232020.705765284,175329.914373902,"Estimate","Estimate"
2012,"Ireland",414813.762894784,61356.5238902898,463332.470884693,377764.678950122,507476.330120118,353258.511590424,"Estimate","Estimate"
2012,"Italy",1587994.84500445,142789.230347678,1672613.49788048,1474778.60395774,1760788.79501638,1400751.2186031,"Estimate","Estimate"
2012,"Latvia",20249.6749530165,1899.45989024074,21556.4677541662,19104.9050653635,22953.0043427965,18131.7596229543,"Estimate","Estimate"
2012,"Lithuania",11532.4947103458,1513.93483628859,12494.6247226447,10581.6830098618,13776.3485865628,9979.65857381895,"Estimate","Estimate"
2012,"Luxembourg",141752.710808586,13763.1771323204,152671.890582326,133402.134929502,161233.334961149,126575.022419597,"Estimate","Estimate"
2012,"Malta",15790.5949510365,1896.32493183289,17203.9053503114,14549.3145754633,18377.7732930754,13394.2447282995,"Estimate","Estimate"
2012,"Netherlands",377559.094829338,20123.801600189,391272.893785957,363532.775719474,406415.826606441,353348.495569552,"Estimate","Estimate"
2012,"Poland",58533.7176171683,6206.71084222368,62222.2447680363,54660.2791794663,67754.4616134846,51862.6628657341,"Estimate","Estimate"
2012,"Portugal",183460.49462786,24089.1112328578,198502.892203935,169386.006983058,218865.074558394,160284.763234043,"Estimate","Estimate"
2012,"Romania",13127.8203066189,926.357430222156,13765.1485183306,12501.8167406628,14426.081645989,12056.2273273286,"Estimate","Estimate"
2012,"Slovakia",67913.78868356,6839.99305247103,72944.7941736973,63578.4662254447,78255.3983242863,60396.0175174461,"Estimate","Estimate"
2012,"Slovenia",56740.4323754167,5189.89712224461,60179.8954391155,53152.9137278936,62903.9824410126,50462.3968728374,"Estimate","Estimate"
2012,"Spain",1758649.90762642,110543.127838364,1832025.34384483,1695072.08153122,1915488.29778275,1628631.35593723,"Estimate","Estimate"
2012,"Sweden",349765.535224909,19268.9117952283,362531.101126438,338287.838645849,374451.720952076,327419.37634406,"Estimate","Estimate"
2012,"UK",2218586.76905786,179202.26688482,2332210.50275722,2100120.12480656,2468908.15306271,1992380.16309496,"Estimate","Estimate"
2013,"Austria",494338.127691354,30312.7435259049,513351.303890766,472506.116058039,535941.157730859,455821.25588562,"Estimate","Estimate"
2013,"Belgium",631467.001498625,31288.6830899396,651692.084435367,608573.155525753,669886.985431457,591567.167729998,"Estimate","Estimate"
2013,"Bulgaria",14850.2945939429,735.910389608947,15453.9874839868,14354.3037784569,15807.0308151922,13974.4385033487,"Estimate","Estimate"
2013,"Croatia",56812.4003887727,9839.52343382705,64616.0936604023,51803.6603779172,71073.2987722738,46442.7849750174,"Estimate","Estimate"
2013,"Cyprus",86405.9028550877,12275.5843372252,95222.8450034241,79123.170846017,102541.642846902,72556.6199416346,"Estimate","Estimate"
2013,"Czechia",182047.043627963,14821.3880453813,192538.433989052,172099.653157135,200444.858286271,164625.718106513,"Estimate","Estimate"
2013,"Denmark",161331.935582889,7591.10727149392,166966.946517092,157231.620884322,172063.011404984,153185.162175312,"Estimate","Estimate"
2013,"Estonia",12140.3040163809,823.625734648591,12620.2272546694,11561.4661356497,13255.1999355471,11159.3156626236,"Estimate","Estimate"
2013,"Finland",94857.7001732441,6982.87062223264,99542.8260085834,90494.2846406147,104105.210814313,86703.5162728155,"Estimate","Estimate"
2013,"France",1421256.96134542,180960.249441694,1550706.80643979,1294523.79765187,1664940.96915166,1225116.90182314,"Estimate","Estimate"
2013,"Germany",2731520.38659619,348109.74728048,2947443.54941038,2511381.78405218,3194381.96992357,2321808.3903902,"Estimate","Estimate"
2013,"Greece",286759.170963958,38488.8725799321,315678.327829052,263934.346528852,335966.090588085,241367.571210897,"Estimate","Estimate"
2013,"Hungary",218414.082765502,24666.2060486448,236316.048397469,205466.833044257,253176.285719205,189473.258820888,"Estimate","Estimate"
2013,"Ireland",434659.677447206,72311.1015452982,479148.945850785,386422.83103856,534299.802064201,348807.641662695,"Estimate","Estimate"
2013,"Italy",1701343.19367741,149140.127441129,1815476.91304357,1616574.34230204,1905374.98743162,1528268.3135672,"Estimate","Estimate"
2013,"Latvia",21549.0071522904,2031.56828481569,22985.0527572197,20206.0706066423,24452.3890087364,19268.8333108428,"Estimate","Estimate"
