"year","name","total","sd","upp50","lwr50","upp80","lwr80"
2011,"Austria",426940.33119613,12518.1000512161,441660.218979588,420544.131367522,448205.332996261,415818.170428185
2011,"Belgium",527336.991932388,36050.4028023737,553541.399800576,503845.639869853,580454.988482834,484054.322499226
2011,"Bulgaria",9340.6038428018,266.478546630223,9688.12177831522,9206.42160148512,9800.94303826546,9115.10597529352
2011,"Croatia",55287.5491464624,2134.84343031468,57019.1432839301,54080.6063386843,58240.296173608,53608.1016707832
2011,"Cyprus",89208.955869898,2430.14013605374,92762.5130781746,88190.501167279,93616.8849135878,87532.8099651384
2011,"Czechia",99629.9745944915,11057.1070476217,106678.471846159,92655.104291957,113586.41095904,86683.1376078684
2011,"Denmark",132012.156218521,3574.67707273157,137841.813142875,130693.860552453,138895.265101454,129976.936866337
2011,"Estonia",8271.0518541166,230.884188383397,8604.11542685213,8166.55492292523,8691.72157180621,8110.17534018345
2011,"Finland",74006.9096034561,2052.39802498952,77094.762636566,73171.324290793,77833.920261803,72670.397962792
2011,"France",1443761.03519223,39949.1316483396,1498822.63815959,1427245.80445982,1519063.0802537,1417196.82756104
2011,"Germany",2798671.57838508,190840.700428365,2925070.13494915,2703048.80008387,3091818.80086211,2677369.62084976
2011,"Greece",305625.651427525,8169.00207485627,317115.714889413,301535.630342776,319645.91952193,298878.023275188
2011,"Hungary",182499.717538401,5341.13225837818,189388.347361269,179964.56399818,192118.21375598,178295.024432377
2011,"Ireland",411450.41340071,38591.5034252604,437686.605361751,384438.478244182,462679.974777784,363726.801369748
2011,"Italy",1333255.66019525,36917.3091996585,1384269.83209686,1316666.13021228,1401199.54794534,1305219.34808501
2011,"Latvia",19341.3525975145,1115.7497559201,20291.592428605,18894.5270230414,21018.9036526041,18662.0879902903
2011,"Lithuania",10906.8306690909,353.366757272404,11249.1623381545,10674.5136416801,11448.0561985772,10560.5394629822
2011,"Luxembourg",134476.406300173,3670.72688385733,139748.669598822,132677.748808631,141032.104160268,131593.775311123
2011,"Malta",13735.7543969891,493.125237491935,14137.8633427153,13454.4375220624,14389.4184292294,13336.0287696778
2011,"Netherlands",335409.448598392,22598.7237373347,351017.517792329,321936.77541215,366256.616761702,311768.655586525
2011,"Poland",52301.7633325352,4399.11739745522,54089.5331764749,50558.4294535714,58327.6904818448,49799.0603775334
2011,"Portugal",176898.750335424,4958.8079554908,183676.876485213,174385.971161155,185590.327548276,173134.17709509
2011,"Romania",11044.3349954289,298.070186688067,11521.3833385387,10906.9786255254,11597.7343518932,10848.1813246826
2011,"Slovakia",28861.9176823716,2555.89086777546,30642.9469551056,26964.3223854217,32295.9590735762,25834.0975242318
2011,"Slovenia",48777.922176139,1401.05762065842,50542.8121140198,48107.6637312752,51275.5153789015,47572.3745375929
